,ownerUserID,skillTagsID,expDescription,1,2,4,5,7,8,10,11,12,13,14,15,18,19,20,39,48,52,school
0,4504,"5,11,15","<p>I had to climb a tree to get my throw bag for arborist </p>
<p> </p>",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,pva
1,4511,"7,18","<p>The biggest problem I&rsquo;ve had in the last few weeks is yelling at my dog. He&rsquo;s very bad, especially because he barks a lot. I considered yelling at him and smacking his butt with a newspaper, but I chose to tell him to be quiet because it don&rsquo;t want to make him afraid of me. ( but it didn&rsquo;t work. Honestly, I didn&rsquo;t think it would.)</p>",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,pva
2,4509,"7,5,8,10","<p>The biggest problem I've had in the last few weeks is forgetting about homework when I get home and not remembering until late at night. It seemed like I could finish it quickly before bed time, but it would sometimes be hard. To solve the problem is got up 20 minutes earlier than usual to have my sister help me finish before I got on the bus.</p>",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pva
3,4544,"7,11,14","<p>The biggest problem I've had in the last few weeks is that I have a problem getting out  </p>
<p>of bed to solve it I have been forcing my self to get out of bed.</p>
<p>I considered doing /it seemed liked I could build a new tree house.</p>
<p>I solve it. I chose to do: I choose to ignore the bullying.</p>",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pva
4,4464,"7,2,4,4","<p>The biggest problem I have seen is that my brothers birthday was a few days ago, and he got lots of Lego sets. He was glued to them, and would not spent anytime with me. Every time we called him downstairs he would whine and complain. I considered taking charge of him, and yelling at him, but when I thought about it I choose to let my parents deal with it instead. I choose that so instead of me getting introuble by brother did.</p>",0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pva
5,4554,"7,2,5,10,18,18","<p>My highest letter on my next move is A which stands for Artistic. I would be good a this because to be an artist you have to have a certain&nbsp;liking like you have to like art, sculpting, painting, drawing, and etc. I think I have most of those qualities to be an artist.</p>",0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,pva
6,4747,"5,8,10,18","<p>Playing sports is a big part of my life. I have been playing different sports for six years. I have played basketball, track, volleyball, and softball. These sports taught me how to work well with others, because I was always on a team.</p>",0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,pva
7,4746,"5,7,18","<p>During the summer I work on my Dad's and Grandfather's farm. Its fun but tiring work. It teaches you how to work and get a job done, baling and uloading hay all summer and other chores mixed in.</p>",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,pva
8,4751,"5,8,14,15","<p>I've done multiple fundraisers. All for differnt things. I've done diabedes walk, diabedes fundraiser, a satand athon to raise money for Penn State you look for a cure for cancer. I had to work with others to raise money. I also had to step up and help lead. I needed to be able to communicate with other peers, and talk to people and ask for donations. I had to have promblem solving to think of ways to bounce back when problems accour.&nbsp;</p>",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,pva
